obdobie,hyp_sazba,hyp_objem,spotr_sazba,spotr_objem,repo_sazba,vklady_domacnosti
2004-01-31,5.07,3344.2,14.53,1582.8,2.0,1016723.1
2004-02-29,5.08,3515.0,14.96,1910.4,2.0,1024338.1
2004-03-31,4.9,4217.4,15.03,2456.7,2.0,1019815.1
2004-04-30,4.81,4760.9,14.5,2727.2,2.0,1038265.0
2004-05-31,4.67,4922.4,14.69,2552.4,2.0,1038598.7
2004-06-30,4.71,5125.7,14.95,2469.1,2.25,1042775.3
2004-07-31,4.93,4503.8,14.9,2233.9,2.25,1046610.7
2004-08-31,4.98,4122.7,15.23,2378.1,2.5,1055150.4
2004-09-30,5.09,4374.9,14.52,2773.4,2.5,1056982.5
2004-10-31,5.0,4219.5,14.37,3130.7,2.5,1056189.2
2004-11-30,4.95,4166.5,13.9,3547.0,2.5,1056541.9
2004-12-31,4.84,4635.7,14.42,2783.1,2.5,1064086.6
2005-01-31,4.76,3961.3,14.7,1988.4,2.25,1076669.0
2005-02-28,4.62,2981.7,13.72,2388.2,2.25,1080269.8
2005-03-31,4.34,3659.3,13.07,3567.2,2.25,1078621.3
2005-04-30,4.26,3789.7,11.9,4336.8,1.75,1096124.3
2005-05-31,4.11,4529.8,11.23,5226.9,1.75,1099384.2
2005-06-30,3.94,5239.2,13.58,3218.2,1.75,1097085.7
2005-07-31,3.89,4190.2,13.44,2660.6,1.75,1099873.5
2005-08-31,3.88,5476.3,13.1,3320.1,1.75,1101451.1
2005-09-30,3.84,5411.6,13.43,2985.7,1.75,1100343.6
2005-10-31,3.85,5027.3,13.04,3932.5,2.0,1102975.6
2005-11-30,3.89,6416.3,12.7,5610.0,2.0,1105951.3
2005-12-31,4.12,5914.7,12.52,3704.2,2.0,1122256.6
2006-01-31,4.25,4265.1,12.92,2692.3,2.0,1134595.1
2006-02-28,4.27,4581.8,12.8,2817.7,2.0,1139297.1
2006-03-31,4.31,7232.2,12.56,4321.3,2.0,1141676.0
2006-04-30,4.34,6007.7,12.61,3743.3,2.0,1166087.4
2006-05-31,4.2,7860.2,12.43,4804.6,2.0,1169678.6
2006-06-30,4.14,10570.8,12.59,4715.1,2.0,1175031.1
2006-07-31,4.23,6803.1,12.71,3473.2,2.25,1182178.2
2006-08-31,4.34,8267.5,12.42,3900.9,2.25,1188135.0
2006-09-30,4.33,9128.5,12.4,4126.2,2.5,1196469.2
2006-10-31,4.43,8681.2,12.71,5454.3,2.5,1200271.1
2006-11-30,4.46,8779.8,12.81,5992.2,2.5,1206521.6
